Lead_Id,LeadSource,Industry,Title,Country,NumberOfEmployees,AnnualRevenue,Email_Domain_Type,CreatedDate,Converted
00Q0000000,Webinar,Telecommunications,Manager,USA,123,5466000.0,Personnel,2024-10-25,0
00Q0000001,Social Media,Technology,Individual Contributor,Canada,145,12406000.0,Professionnel,2025-12-07,0
00Q0000002,Web,Shipping,VP,France,60,6249000.0,Personnel,2025-03-17,0
00Q0000003,Web,Manufacturing,Team Lead,Canada,439,48305000.0,Professionnel,2025-09-09,0
00Q0000004,Trade Show,Government,Individual Contributor,Spain,99,5620000.0,Personnel,2024-10-13,0
00Q0000005,Purchased List,Banking,Director,UK,46,1583000.0,Professionnel,2024-11-28,0
00Q0000006,Purchased List,Hospitality,Individual Contributor,USA,570,29889000.0,Personnel,2025-04-14,0
00Q0000007,Advertisement,Retail,Individual Contributor,Spain,47,2693000.0,Professionnel,2026-09-06,0
00Q0000008,Purchased List,Retail,Team Lead,Netherlands,54,7308000.0,Personnel,2026-03-19,0
00Q0000009,Phone Inquiry,Banking,Manager,USA,138,4413000.0,Personnel,2025-11-07,0
00Q0000010,Email Campaign,Hospitality,Team Lead,Canada,97,2799000.0,Professionnel,2026-02-13,0
00Q0000011,Phone Inquiry,Finance,VP,Germany,457,20737000.0,Professionnel,2025-02-27,1
00Q0000012,Trade Show,Banking,Manager,Morocco,25,1868000.0,Professionnel,2025-02-10,1
00Q0000013,Phone Inquiry,Finance,Manager,Morocco,20,1406000.0,Personnel,2026-05-29,0
00Q0000014,Cold Call,Shipping,Individual Contributor,USA,36,2276000.0,Personnel,2026-09-02,0
00Q0000015,Advertisement,Consulting,Director,USA,18,1843000.0,Professionnel,2025-02-25,1
00Q0000016,Web,Apparel,VP,USA,157,7681000.0,Professionnel,2025-03-23,1
00Q0000017,Partner Referral,Banking,Team Lead,France,22,1628000.0,Professionnel,2025-03-31,1
00Q0000018,Purchased List,Agriculture,Intern,USA,8,258000.0,Personnel,2026-09-08,0
00Q0000019,Purchased List,Media,Manager,India,63,12018000.0,Professionnel,2024-11-17,1
00Q0000020,Phone Inquiry,Energy,Senior Manager,UK,283,10341000.0,Professionnel,2025-10-01,1
00Q0000021,Public Relations,Biotechnology,Director,India,71,5147000.0,Personnel,2025-03-02,0
00Q0000022,Email Campaign,Finance,Director,USA,46,2554000.0,Professionnel,2026-08-08,1
00Q0000023,Social Media,Electronics,Senior Manager,Italy,123,10605000.0,Personnel,2024-11-01,0
00Q0000024,Phone Inquiry,Media,Manager,France,3,169000.0,Personnel,2026-01-27,0
00Q0000025,Web,Apparel,Senior Manager,USA,96,9754000.0,Professionnel,2025-12-24,1
00Q0000026,Web,Technology,Manager,UK,189,14154000.0,Professionnel,2025-02-04,0
00Q0000027,Partner Referral,Engineering,Team Lead,France,173,2598000.0,Personnel,2024-12-18,0
00Q0000028,Advertisement,Machinery,Manager,France,63,2964000.0,Professionnel,2025-08-25,0
00Q0000029,Purchased List,Food & Beverage,Intern,Spain,62,4999000.0,Professionnel,2026-02-11,0
00Q0000030,Advertisement,Finance,Director,USA,21,1440000.0,Personnel,2026-01-20,0
00Q0000031,Employee Referral,Retail,Team Lead,UAE,17,1201000.0,Personnel,2025-04-29,0
00Q0000032,Purchased List,Chemicals,Team Lead,India,3,262000.0,Professionnel,2026-05-16,0
00Q0000033,Webinar,Consulting,Senior Manager,France,220,13560000.0,Professionnel,2026-04-08,0
00Q0000034,Phone Inquiry,Healthcare,Individual Contributor,USA,310,22218000.0,Professionnel,2025-11-29,1
00Q0000035,Employee Referral,Food & Beverage,Individual Contributor,USA,30,1297000.0,Professionnel,2025-07-14,0
00Q0000036,Purchased List,Transportation,Individual Contributor,UAE,124,14218000.0,Professionnel,2025-07-15,0
00Q0000037,Cold Call,Telecommunications,Individual Contributor,Germany,42,7651000.0,Personnel,2026-05-10,0
00Q0000038,Phone Inquiry,Healthcare,Individual Contributor,Morocco,17,1615000.0,Professionnel,2025-10-17,0
00Q0000039,Web,Technology,Director,USA,34,4674000.0,Personnel,2026-01-07,0
00Q0000040,Cold Call,Transportation,Individual Contributor,USA,108,15602000.0,Professionnel,2025-01-04,0
00Q0000041,Web,Food & Beverage,Individual Contributor,Germany,565,15801000.0,Personnel,2026-01-12,0
00Q0000042,Social Media,Retail,Intern,Germany,49,2240000.0,Professionnel,2025-07-14,0
00Q0000043,Phone Inquiry,Engineering,Individual Contributor,USA,6,388000.0,Professionnel,2025-01-19,0
00Q0000044,Web,Finance,Individual Contributor,France,30,2157000.0,Professionnel,2025-10-20,1
00Q0000045,Web,Finance,Team Lead,France,81,8440000.0,Professionnel,2026-08-31,0
00Q0000046,Purchased List,Healthcare,Director,Canada,79,3498000.0,Professionnel,2024-09-28,0
00Q0000047,Trade Show,Communications,Individual Contributor,France,152,12779000.0,Professionnel,2025-03-29,1
00Q0000048,Social Media,Consulting,Individual Contributor,Germany,19,595000.0,Personnel,2024-12-03,0
00Q0000049,Web,Electronics,Individual Contributor,USA,68,3646000.0,Professionnel,2026-07-25,0
00Q0000050,Purchased List,Education,Individual Contributor,India,112,8691000.0,Personnel,2025-08-24,0
00Q0000051,Web,Education,Team Lead,UK,39,2840000.0,Professionnel,2026-07-03,1
00Q0000052,Advertisement,Shipping,Manager,UK,46,1897000.0,Personnel,2025-01-22,0
00Q0000053,Partner Referral,Manufacturing,Senior Manager,UK,16,1059000.0,Professionnel,2024-10-12,0
00Q0000054,Cold Call,Engineering,Manager,India,650,71568000.0,Professionnel,2026-01-26,1
